Recruitment Number,Position Number,Classification,Department,Interview Date,Selection,Job Offer Date,Effective Date,Comments,Date Verification
7082891,123-008-105-010,Financial Analyst,Research and Development,2023-03-12,William Garcia,2023-04-04,2023-05-23,promo,Dates OK
7082891,123-008-105-011,Financial Analyst,Research and Development,2023-05-11,Mary Roberts,2023-06-05,2023-07-03,transfer,Dates OK
7082891,123-008-105-012,Financial Analyst,Research and Development,2023-06-10,Michael Williams,2023-06-29,,declined,Dates OK
1994305,123-002-116-004,Content Writer,Finance,,,,,cancelled,Dates OK
1994305,123-002-116-005,Content Writer,Finance,2022-04-09,James Carter,2022-05-05,,rescinded,Dates OK
1994305,123-002-116-006,Content Writer,Finance,2022-07-24,Joshua Wilson,2022-07-30,,declined,Dates OK
6897756,123-002-101-004,Software Engineer,Finance,2022-12-23,Charlotte Nguyen,2023-01-04,2023-01-15,new to org,Dates OK
6897756,123-002-101-005,Software Engineer,Finance,2022-03-11,Steven Torres,2022-03-15,2022-05-07,promo,Dates OK
1234617,123-004-117-002,Quality Assurance,Marketing,2022-01-05,Lucas Carter,2022-01-29,2022-02-05,promo,Dates OK
1234617,123-004-117-003,Quality Assurance,Marketing,2022-07-09,Lisa Hall,2022-07-24,2022-09-06,,Dates OK
2800606,123-006-106-010,Marketing Coordinator,Customer Service,2022-11-18,Anthony Davis,2022-11-22,2022-12-22,promo,Dates OK
2800606,123-006-106-011,Marketing Coordinator,Customer Service,2023-01-05,William Young,2023-01-28,,declined,Dates OK
2800606,123-006-106-012,Marketing Coordinator,Customer Service,2022-03-26,George Williams,2022-04-06,,rescinded,Dates OK
2800606,123-006-106-013,Marketing Coordinator,Customer Service,2022-11-16,Charles Robinson,2022-12-08,2023-01-31,,Dates OK
8448343,123-009-108-001,Customer Support Rep,Operations,2022-07-13,Mia Ramirez,2022-08-10,,declined,Dates OK
8448343,123-009-108-002,Customer Support Rep,Operations,2022-03-29,Kevin Baker,2022-04-02,,declined,Dates OK
8448343,123-009-108-003,Customer Support Rep,Operations,2023-01-12,Charlotte Baker,2023-01-18,2023-01-19,,Dates OK
8448343,123-009-108-004,Customer Support Rep,Operations,2023-02-10,Amanda Miller,2023-02-25,2023-03-31,,Dates OK
3405308,123-007-113-010,Operations Supervisor,Information Technology,2022-07-23,John White,2022-08-03,2022-08-16,promo,Dates OK
3405308,123-007-113-011,Operations Supervisor,Information Technology,2023-03-11,Linda Anderson,2023-04-04,2023-05-06,,Dates OK
3405308,123-007-113-012,Operations Supervisor,Information Technology,2022-10-07,Dorothy Roberts,2022-11-01,,rescinded,Dates OK
3405308,123-007-113-013,Operations Supervisor,Information Technology,2023-02-19,Daniel Walker,2023-03-07,2023-04-09,,Dates OK
3405308,123-007-113-014,Operations Supervisor,Information Technology,2022-04-21,Deborah Robinson,2022-04-25,,rescinded,Dates OK
5205877,123-008-116-008,Content Writer,Research and Development,2022-02-24,Mary Miller,2022-03-23,2022-03-28,promo,Dates OK
5205877,123-008-116-009,Content Writer,Research and Development,2022-12-01,Barbara Harris,2022-12-06,2022-12-26,transfer,Dates OK
2616210,123-002-125-007,Security Analyst,Finance,2023-05-25,Richard Jackson,2023-06-10,2023-07-13,,Dates OK
2616210,123-002-125-008,Security Analyst,Finance,2022-01-19,Nancy Phillips,2022-02-13,,rescinded,Dates OK
2616210,123-002-125-009,Security Analyst,Finance,2022-05-02,Margaret Cruz,2022-05-15,,declined,Dates OK
2616210,123-002-125-010,Security Analyst,Finance,2022-02-06,Mark Robinson,2022-02-08,2022-02-20,,Dates OK
2616210,123-002-125-011,Security Analyst,Finance,2022-06-18,Olivia Rivera,2022-07-04,2022-08-01,new to org,Dates OK
3256338,123-007-110-007,Legal Advisor,Information Technology,2023-04-27,Kevin Scott,2023-05-13,2023-06-18,,Dates OK
3256338,123-007-110-008,Legal Advisor,Information Technology,2023-05-22,Betty Taylor,2023-06-10,2023-07-05,transfer,Dates OK
3256338,123-007-110-009,Legal Advisor,Information Technology,2022-11-25,Deborah Jackson,2022-11-27,2022-11-29,new to org,Dates OK
3256338,123-007-110-010,Legal Advisor,Information Technology,2022-12-24,Mason White,2023-01-19,2023-03-08,promo,Dates OK
1451304,123-006-125-001,Security Analyst,Customer Service,2022-11-30,Mary Wright,2022-12-02,,declined,Dates OK
1451304,123-006-125-002,Security Analyst,Customer Service,2022-12-26,Daniel Clark,2022-12-28,,rescinded,Dates OK
1451304,123-006-125-003,Security Analyst,Customer Service,2022-11-16,Jessica Adams,2022-12-05,2022-12-11,promo,Dates OK
1451304,123-006-125-004,Security Analyst,Customer Service,2022-04-28,Logan Martin,2022-05-09,2022-05-20,transfer,Dates OK
8732776,123-007-122-003,DevOps Engineer,Information Technology,2023-04-26,Sarah Johnson,2023-05-15,2023-05-17,,Dates OK
8732776,123-007-122-004,DevOps Engineer,Information Technology,2022-11-27,Andrew Harris,2022-12-16,2022-12-23,,Dates OK
8732776,123-007-122-005,DevOps Engineer,Information Technology,2022-07-30,Brian Baker,2022-08-10,2022-09-11,transfer,Dates OK
8732776,123-007-122-006,DevOps Engineer,Information Technology,2022-11-03,David Flores,2022-11-15,2022-12-13,new to org,Dates OK
8732776,123-007-122-007,DevOps Engineer,Information Technology,2022-03-19,Kenneth Diaz,2022-04-15,,rescinded,Dates OK
9989803,123-005-107-001,Sales Associate,Sales,2022-03-20,Susan Thompson,2022-04-10,,declined,Dates OK
9989803,123-005-107-002,Sales Associate,Sales,2022-04-05,Ethan Anderson,2022-04-28,2022-06-22,,Dates OK
9989803,123-005-107-003,Sales Associate,Sales,2023-06-28,Sarah Jones,2023-07-14,2023-08-11,new to org,Dates OK
6064152,123-005-117-001,Quality Assurance,Sales,2023-02-16,Richard Clark,2023-02-25,2023-04-06,new to org,Dates OK
6064152,123-005-117-002,Quality Assurance,Sales,2023-06-13,Olivia Johnson,2023-07-11,2023-07-23,promo,Dates OK
6064152,123-005-117-003,Quality Assurance,Sales,2023-04-24,Kevin Evans,2023-05-03,2023-07-02,promo,Dates OK
6064152,123-005-117-004,Quality Assurance,Sales,2022-03-03,Jackson Torres,2022-03-20,2022-04-02,,Dates OK
7111514,123-003-115-001,Graphic Designer,Engineering,2022-11-04,Amanda Carter,2022-12-02,,declined,Dates OK
7111514,123-003-115-002,Graphic Designer,Engineering,2022-03-07,Logan Turner,2022-03-28,2022-04-11,new to org,Dates OK
7919567,123-005-109-001,IT Technician,Sales,2023-02-20,Joshua Thomas,2023-02-28,,declined,Dates OK
7919567,123-005-109-002,IT Technician,Sales,2022-09-09,Richard Johnson,2022-10-05,,declined,Dates OK
6210006,123-008-115-004,Graphic Designer,Research and Development,2022-02-07,Carol Edwards,2022-02-14,2022-02-25,,Dates OK
6210006,123-008-115-005,Graphic Designer,Research and Development,2022-10-12,Mary Taylor,2022-11-03,,rescinded,Dates OK
6210006,123-008-115-006,Graphic Designer,Research and Development,2022-01-21,George Young,2022-01-23,2022-03-20,transfer,Dates OK
6210006,123-008-115-007,Graphic Designer,Research and Development,2022-03-07,Joshua Martin,2022-04-05,2022-05-02,new to org,Dates OK
6210006,123-008-115-008,Graphic Designer,Research and Development,2022-05-24,Betty Turner,2022-06-01,2022-06-09,transfer,Dates OK
9392777,123-002-130-017,Biomedical Engineer,Finance,2022-04-03,Ashley Cruz,2022-04-11,2022-05-20,new to org,Dates OK
9392777,123-002-130-018,Biomedical Engineer,Finance,2022-12-04,Ethan Lee,2022-12-31,,declined,Dates OK
9392777,123-002-130-019,Biomedical Engineer,Finance,2022-08-30,Ethan Mitchell,2022-09-29,2022-10-27,,Dates OK
9392777,123-002-130-020,Biomedical Engineer,Finance,2022-08-08,Michael Lopez,2022-08-17,,rescinded,Dates OK
9392777,123-002-130-021,Biomedical Engineer,Finance,2022-02-27,Logan Nguyen,2022-03-15,2022-04-19,new to org,Dates OK
7286506,123-002-123-001,Data Engineer,Finance,2022-10-12,Amanda Thomas,2022-11-10,2022-12-31,,Dates OK
7286506,123-002-123-002,Data Engineer,Finance,2023-01-12,Donald Rivera,2023-02-08,2023-02-28,new to org,Dates OK
7286506,123-002-123-003,Data Engineer,Finance,2022-02-05,Lucas Hill,2022-03-04,,declined,Dates OK
1917249,123-004-123-001,Data Engineer,Marketing,2023-01-07,Kenneth Hall,2023-02-05,2023-03-29,new to org,Dates OK
1917249,123-004-123-002,Data Engineer,Marketing,2023-02-02,Mia Lewis,2023-02-03,2023-04-03,promo,Dates OK
1917249,123-004-123-003,Data Engineer,Marketing,2022-08-30,Karen Garcia,2022-09-09,2022-09-23,new to org,Dates OK
3688166,123-008-130-004,Biomedical Engineer,Research and Development,2022-10-08,Sophia Williams,2022-11-05,2022-11-11,,Dates OK
3688166,123-008-130-005,Biomedical Engineer,Research and Development,2023-02-27,Donald Mitchell,2023-03-29,2023-05-22,,Dates OK
3688166,123-008-130-006,Biomedical Engineer,Research and Development,2022-04-13,Olivia Collins,2022-05-10,2022-05-21,,Dates OK
5378351,123-002-117-005,Quality Assurance,Finance,2022-01-29,Sandra Hall,2022-02-23,2022-02-27,new to org,Dates OK
5378351,123-002-117-006,Quality Assurance,Finance,2022-05-20,Kenneth Lewis,2022-05-21,2022-06-16,promo,Dates OK
5378351,123-002-117-007,Quality Assurance,Finance,2022-03-26,Karen Lee,2022-03-30,,rescinded,Dates OK
3647821,123-009-108-005,Customer Support Rep,Operations,2023-04-08,Sophia Lee,2023-04-24,2023-06-19,,Dates OK
3647821,123-009-108-006,Customer Support Rep,Operations,2022-12-02,Barbara Baker,2022-12-28,2023-01-16,new to org,Dates OK
4333024,123-007-103-005,Project Manager,Information Technology,2022-08-18,Olivia Harris,2022-08-19,,declined,Dates OK
4333024,123-007-103-006,Project Manager,Information Technology,2023-04-19,Ava Garcia,2023-04-26,2023-05-13,promo,Dates OK
4333024,123-007-103-007,Project Manager,Information Technology,2023-03-16,Patricia Sanchez,2023-04-05,2023-04-22,promo,Dates OK
3504019,123-006-103-001,Project Manager,Customer Service,2023-06-23,James Rivera,2023-07-07,2023-08-26,transfer,Dates OK
3504019,123-006-103-002,Project Manager,Customer Service,2023-05-22,Isabella Baker,2023-05-26,2023-06-10,,Dates OK
4408213,123-005-107-004,Sales Associate,Sales,2022-07-31,William Ramirez,2022-08-20,2022-09-03,,Dates OK
4408213,123-005-107-005,Sales Associate,Sales,2022-07-13,George Baker,2022-07-27,2022-08-08,new to org,Dates OK
4408213,123-005-107-006,Sales Associate,Sales,2022-09-26,Mary Jackson,2022-10-04,2022-11-13,promo,Dates OK
8566133,123-004-130-006,Biomedical Engineer,Marketing,2023-04-26,Jennifer Smith,2023-05-01,2023-06-26,,Dates OK
8566133,123-004-130-007,Biomedical Engineer,Marketing,2023-01-28,Amanda Wilson,2023-02-20,2023-03-20,,Dates OK
8566133,123-004-130-008,Biomedical Engineer,Marketing,2022-03-02,John Miller,2022-03-04,2022-03-26,new to org,Dates OK
4939985,123-006-116-001,Content Writer,Customer Service,2023-06-01,James Taylor,2023-06-21,2023-07-16,transfer,Dates OK
4939985,123-006-116-002,Content Writer,Customer Service,2022-05-16,Kevin White,2022-06-14,2022-07-20,,Dates OK
4939985,123-006-116-003,Content Writer,Customer Service,2022-06-23,Barbara Taylor,2022-07-10,,declined,Dates OK
4939985,123-006-116-004,Content Writer,Customer Service,2022-05-16,Olivia Robinson,2022-05-19,2022-06-09,new to org,Dates OK
4939985,123-006-116-005,Content Writer,Customer Service,2022-04-30,Elizabeth Taylor,2022-05-11,2022-05-14,,Dates OK
3145327,123-005-116-010,Content Writer,Sales,2022-09-27,Lucas Cruz,2022-10-17,2022-12-10,new to org,Dates OK
3145327,123-005-116-011,Content Writer,Sales,2023-03-23,Kimberly Lee,2023-04-21,2023-05-02,new to org,Dates OK
3145327,123-005-116-012,Content Writer,Sales,2023-03-27,Edward Martinez,2023-03-29,2023-04-11,,Dates OK
3493443,123-004-102-002,Data Scientist,Marketing,,,,,cancelled,Dates OK
3493443,123-004-102-003,Data Scientist,Marketing,2023-03-23,Dorothy Robinson,2023-03-27,,declined,Dates OK
9303225,123-008-102-006,Data Scientist,Research and Development,2022-04-26,Sandra Young,2022-05-24,2022-07-10,,Dates OK
9303225,123-008-102-007,Data Scientist,Research and Development,2022-07-28,Daniel Garcia,2022-08-25,2022-09-13,transfer,Dates OK
9303225,123-008-102-008,Data Scientist,Research and Development,2023-06-05,David Mitchell,2023-07-02,,declined,Dates OK
5576682,123-010-119-007,Account Manager,Legal,2022-07-04,Kimberly Roberts,2022-07-18,2022-09-15,transfer,Dates OK
5576682,123-010-119-008,Account Manager,Legal,2022-04-07,Deborah Young,2022-05-06,,declined,Dates OK
6513962,123-005-101-007,Software Engineer,Sales,2022-11-28,Donna Miller,2022-12-03,,rescinded,Dates OK
1484433,123-008-103-011,Project Manager,Research and Development,2022-01-06,Joshua Nelson,2022-01-17,2022-01-20,new to org,Dates OK
1484433,123-008-103-012,Project Manager,Research and Development,2022-05-13,Christopher Campbell,2022-05-20,2022-07-15,,Dates OK
1484433,123-008-103-013,Project Manager,Research and Development,2022-11-27,Carol Jackson,2022-12-23,,declined,Dates OK
1484433,123-008-103-014,Project Manager,Research and Development,2023-01-26,John Scott,2023-01-29,,declined,Dates OK
7691735,123-003-109-001,IT Technician,Engineering,2022-08-02,Jennifer Johnson,2022-08-08,2022-09-02,,Dates OK
7691735,123-003-109-002,IT Technician,Engineering,2022-06-07,Carol Carter,2022-06-11,2022-07-01,new to org,Dates OK
9235014,123-007-126-003,Recruiter,Information Technology,2022-04-09,Daniel Nelson,2022-05-06,2022-05-30,promo,Dates OK
9235014,123-007-126-004,Recruiter,Information Technology,2023-02-02,Mark Cruz,2023-02-18,2023-03-08,,Dates OK
9235014,123-007-126-005,Recruiter,Information Technology,2023-03-09,Jennifer Carter,2023-04-04,2023-04-28,,Dates OK
4126532,123-007-114-001,Research Analyst,Information Technology,,,,,cancelled,Dates OK
6733527,123-004-115-001,Graphic Designer,Marketing,2023-03-24,Charles Robinson,2023-03-27,2023-05-25,transfer,Dates OK
6733527,123-004-115-002,Graphic Designer,Marketing,2022-11-04,Elizabeth Rodriguez,2022-12-01,2022-12-17,new to org,Dates OK
9776028,123-005-114-001,Research Analyst,Sales,2023-04-19,Mary Davis,2023-04-25,,declined,Dates OK
9776028,123-005-114-002,Research Analyst,Sales,2023-02-07,Sophia Lopez,2023-02-09,,declined,Dates OK
9776028,123-005-114-003,Research Analyst,Sales,2022-11-01,Jennifer Clark,2022-11-12,,declined,Dates OK
9776028,123-005-114-004,Research Analyst,Sales,2022-04-07,Margaret Clark,2022-04-22,,declined,Dates OK
9776028,123-005-114-005,Research Analyst,Sales,2022-03-25,Daniel Taylor,2022-04-19,2022-05-22,new to org,Dates OK
8633602,123-008-125-006,Security Analyst,Research and Development,2022-07-11,Ava Parker,2022-07-18,2022-07-30,new to org,Dates OK
8633602,123-008-125-007,Security Analyst,Research and Development,2022-04-19,Joshua Taylor,2022-05-03,,declined,Dates OK
8633602,123-008-125-008,Security Analyst,Research and Development,2022-01-14,Betty Davis,2022-01-20,2022-03-03,transfer,Dates OK
8633602,123-008-125-009,Security Analyst,Research and Development,2023-05-14,Logan Nelson,2023-05-24,2023-07-03,,Dates OK
8633602,123-008-125-010,Security Analyst,Research and Development,2023-02-09,Brian Baker,2023-03-07,2023-03-27,new to org,Dates OK
2470273,123-003-105-002,Financial Analyst,Engineering,2022-07-12,Isabella Johnson,2022-08-09,,declined,Dates OK
1449886,123-008-107-003,Sales Associate,Research and Development,2022-07-15,Mason Green,2022-07-18,2022-08-07,,Dates OK
1449886,123-008-107-004,Sales Associate,Research and Development,2022-01-23,Donald Ramirez,2022-01-27,2022-02-07,promo,Dates OK
3557220,123-008-124-006,Compliance Officer,Research and Development,2022-07-26,Donna Thomas,2022-08-05,2022-09-11,,Dates OK
3557220,123-008-124-007,Compliance Officer,Research and Development,2022-01-09,Patricia Perez,2022-01-13,2022-02-23,,Dates OK
3557220,123-008-124-008,Compliance Officer,Research and Development,2023-05-23,Anthony Diaz,2023-06-16,2023-07-24,,Dates OK
3557220,123-008-124-009,Compliance Officer,Research and Development,2023-02-14,Robert Young,2023-03-02,2023-04-04,new to org,Dates OK
9185628,123-001-108-001,Customer Support Rep,Human Resources,2023-04-25,Mia Turner,2023-04-30,,declined,Dates OK
9185628,123-001-108-002,Customer Support Rep,Human Resources,2023-03-04,Sarah Edwards,2023-04-02,2023-05-03,transfer,Dates OK
9185628,123-001-108-003,Customer Support Rep,Human Resources,2022-12-22,Michelle Adams,2023-01-06,,declined,Dates OK
9185628,123-001-108-004,Customer Support Rep,Human Resources,2022-07-16,David Jackson,2022-08-01,2022-08-24,transfer,Dates OK
9185628,123-001-108-005,Customer Support Rep,Human Resources,2022-12-14,Donna Collins,2023-01-13,2023-02-21,promo,Dates OK
5922335,123-007-124-001,Compliance Officer,Information Technology,2022-06-15,Sophia Walker,2022-07-05,2022-07-19,new to org,Dates OK
5922335,123-007-124-002,Compliance Officer,Information Technology,2023-05-10,Melissa Garcia,2023-05-15,,rescinded,Dates OK
5922335,123-007-124-003,Compliance Officer,Information Technology,2023-05-19,David Hill,2023-05-23,,declined,Dates OK
5922335,123-007-124-004,Compliance Officer,Information Technology,2022-08-03,Karen Thomas,2022-08-21,2022-08-25,,Dates OK
1304180,123-005-112-005,Business Analyst,Sales,2023-05-31,Isabella Parker,2023-06-02,2023-07-24,promo,Dates OK
1304180,123-005-112-006,Business Analyst,Sales,2022-08-21,Margaret Davis,2022-08-25,,declined,Dates OK
1304180,123-005-112-007,Business Analyst,Sales,2022-12-30,Thomas Perez,2023-01-24,2023-01-27,,Dates OK
5487758,123-003-129-005,Supply Chain Manager,Engineering,2023-03-25,Dorothy Brown,2023-04-20,2023-05-20,transfer,Dates OK
5487758,123-003-129-006,Supply Chain Manager,Engineering,2022-04-15,Michael Gomez,2022-05-12,2022-06-17,transfer,Dates OK
5487758,123-003-129-007,Supply Chain Manager,Engineering,2022-05-01,Michael Hernandez,2022-05-29,,declined,Dates OK
5487758,123-003-129-008,Supply Chain Manager,Engineering,2022-10-27,Lisa Hernandez,2022-11-19,,rescinded,Dates OK
5487758,123-003-129-009,Supply Chain Manager,Engineering,2022-04-12,George Parker,2022-04-17,2022-05-29,,Dates OK
7102492,123-003-111-005,Product Manager,Engineering,2022-01-07,Anthony Roberts,2022-01-15,2022-03-10,,Dates OK
8946752,123-005-111-008,Product Manager,Sales,2023-03-01,Sarah White,2023-03-13,,declined,Dates OK
8946752,123-005-111-009,Product Manager,Sales,2023-06-27,Elizabeth Carter,2023-07-11,2023-08-31,promo,Dates OK
8946752,123-005-111-010,Product Manager,Sales,2023-02-28,Ethan Ramirez,2023-03-30,,rescinded,Dates OK
8946752,123-005-111-011,Product Manager,Sales,2023-06-13,Charlotte Diaz,2023-07-09,2023-08-22,,Dates OK
8946752,123-005-111-012,Product Manager,Sales,2022-01-11,Mark Martinez,2022-02-03,2022-03-27,transfer,Dates OK
9679670,123-002-103-004,Project Manager,Finance,2023-03-21,Deborah Hernandez,2023-03-23,,rescinded,Dates OK
9679670,123-002-103-005,Project Manager,Finance,2022-06-04,Robert Nelson,2022-07-03,,rescinded,Dates OK
9679670,123-002-103-006,Project Manager,Finance,2022-11-08,Anthony Sanchez,2022-12-02,2023-01-19,new to org,Dates OK
6262932,123-006-130-004,Biomedical Engineer,Customer Service,2023-04-02,Brian Sanchez,2023-04-23,2023-05-07,promo,Dates OK
8417942,123-006-123-005,Data Engineer,Customer Service,2022-12-09,Jennifer Williams,2022-12-22,2023-02-07,new to org,Dates OK
8417942,123-006-123-006,Data Engineer,Customer Service,2022-10-18,Kimberly Wright,2022-10-25,2022-10-31,promo,Dates OK
8417942,123-006-123-007,Data Engineer,Customer Service,2022-06-13,Kimberly Perez,2022-06-14,2022-06-16,new to org,Dates OK
8417942,123-006-123-008,Data Engineer,Customer Service,2022-11-08,Jessica Turner,2022-12-02,2022-12-30,new to org,Dates OK
9477100,123-001-104-001,HR Specialist,Human Resources,2022-05-07,Steven Thompson,2022-05-09,,declined,Dates OK
9477100,123-001-104-002,HR Specialist,Human Resources,2022-01-06,Mark Martin,2022-01-21,2022-02-12,transfer,Dates OK
9477100,123-001-104-003,HR Specialist,Human Resources,2022-10-19,Daniel Martin,2022-11-10,2022-12-31,promo,Dates OK
3348331,123-007-123-001,Data Engineer,Information Technology,2022-07-17,Christopher King,2022-08-13,2022-10-02,transfer,Dates OK
3348331,123-007-123-002,Data Engineer,Information Technology,2023-03-12,Elizabeth Rivera,2023-04-08,2023-05-05,transfer,Dates OK
3348331,123-007-123-003,Data Engineer,Information Technology,2022-05-14,Patricia Ramirez,2022-05-30,,declined,Dates OK
3348331,123-007-123-004,Data Engineer,Information Technology,2023-06-23,John White,2023-07-06,,rescinded,Dates OK
3348331,123-007-123-005,Data Engineer,Information Technology,2023-05-26,Logan Taylor,2023-06-16,2023-07-14,,Dates OK
8383316,123-008-123-006,Data Engineer,Research and Development,2023-05-12,Steven Rodriguez,2023-06-04,2023-07-04,promo,Dates OK
8383316,123-008-123-007,Data Engineer,Research and Development,2023-06-26,Dorothy Allen,2023-06-30,,declined,Dates OK
8383316,123-008-123-008,Data Engineer,Research and Development,2022-06-10,Donald Williams,2022-06-28,2022-07-22,,Dates OK
8383316,123-008-123-009,Data Engineer,Research and Development,2023-02-23,Joshua Diaz,2023-02-27,2023-03-07,transfer,Dates OK
7200623,123-005-119-009,Account Manager,Sales,2023-01-19,Lisa Martin,2023-01-29,2023-02-17,transfer,Dates OK
9152477,123-003-101-001,Software Engineer,Engineering,2022-11-09,Patricia Edwards,2022-12-08,2022-12-27,,Dates OK
9152477,123-003-101-002,Software Engineer,Engineering,2023-05-16,Isabella Mitchell,2023-05-17,,rescinded,Dates OK
3052321,123-006-118-002,Network Engineer,Customer Service,2022-11-14,Donald Torres,2022-12-03,2023-01-01,,Dates OK
6667733,123-007-126-006,Recruiter,Information Technology,2023-06-01,Edward Rodriguez,2023-06-22,2023-07-22,promo,Dates OK
6667733,123-007-126-007,Recruiter,Information Technology,2022-11-30,Elizabeth Parker,2022-12-03,2023-01-24,,Dates OK
6667733,123-007-126-008,Recruiter,Information Technology,2023-02-09,Matthew Anderson,2023-02-20,2023-03-27,,Dates OK
6667733,123-007-126-009,Recruiter,Information Technology,2023-03-30,Kevin Cruz,2023-04-23,,declined,Dates OK
5653581,123-002-121-003,UX Designer,Finance,2022-05-07,Emily Adams,2022-05-28,2022-07-03,new to org,Dates OK
5653581,123-002-121-004,UX Designer,Finance,2022-02-24,Michelle Wright,2022-03-15,,declined,Dates OK
9753576,123-008-107-005,Sales Associate,Research and Development,2022-07-04,Kevin Wright,2022-07-05,2022-07-23,transfer,Dates OK
9753576,123-008-107-006,Sales Associate,Research and Development,2023-03-31,Mason Rivera,2023-04-03,2023-05-25,promo,Dates OK
9753576,123-008-107-007,Sales Associate,Research and Development,2022-02-16,Betty Nguyen,2022-03-04,2022-04-29,new to org,Dates OK
9753576,123-008-107-008,Sales Associate,Research and Development,2023-03-01,Margaret Lopez,2023-03-02,2023-04-27,new to org,Dates OK
9753576,123-008-107-009,Sales Associate,Research and Development,2022-04-28,Thomas Garcia,2022-05-02,2022-06-06,,Dates OK
3821189,123-003-110-001,Legal Advisor,Engineering,2022-11-11,Jennifer Martinez,2022-11-25,,declined,Dates OK
3821189,123-003-110-002,Legal Advisor,Engineering,2022-07-05,Michelle Lee,2022-07-06,2022-08-21,transfer,Dates OK
1981497,123-007-110-011,Legal Advisor,Information Technology,2022-11-28,Anthony Edwards,2022-12-07,,rescinded,Dates OK
7300065,123-002-127-008,Training Coordinator,Finance,2022-08-31,Edward Hill,2022-09-16,,declined,Dates OK
9533248,123-009-125-009,Security Analyst,Operations,2023-04-21,Patricia Lee,2023-05-09,2023-06-05,new to org,Dates OK
9533248,123-009-125-010,Security Analyst,Operations,2022-08-28,Mary Clark,2022-09-27,,declined,Dates OK
9533248,123-009-125-011,Security Analyst,Operations,2022-04-14,Emily Nguyen,2022-04-22,2022-06-10,new to org,Dates OK
9533248,123-009-125-012,Security Analyst,Operations,2023-02-21,Karen Torres,2023-03-08,2023-03-14,promo,Dates OK
9395862,123-003-107-010,Sales Associate,Engineering,2023-03-10,Sophia Thomas,2023-04-09,2023-05-15,promo,Dates OK
9395862,123-003-107-011,Sales Associate,Engineering,2022-10-24,Isabella Robinson,2022-11-14,2022-11-25,transfer,Dates OK
9395862,123-003-107-012,Sales Associate,Engineering,2023-05-09,Jackson Collins,2023-05-18,,declined,Dates OK
5209218,123-007-127-006,Training Coordinator,Information Technology,2023-06-07,Donna Turner,2023-06-17,2023-06-20,promo,Dates OK
5209218,123-007-127-007,Training Coordinator,Information Technology,2022-03-13,Paul Torres,2022-03-23,,declined,Dates OK
5209218,123-007-127-008,Training Coordinator,Information Technology,2022-05-24,Brian Davis,2022-06-17,,declined,Dates OK
5688532,123-007-129-004,Supply Chain Manager,Information Technology,2022-12-17,Olivia Baker,2023-01-07,2023-01-24,new to org,Dates OK
5688532,123-007-129-005,Supply Chain Manager,Information Technology,2022-11-26,Sarah Thomas,2022-12-07,2022-12-21,,Dates OK
8714152,123-006-120-006,Executive Assistant,Customer Service,2023-05-03,Carol Smith,2023-05-04,2023-07-01,promo,Dates OK
1160702,123-003-122-010,DevOps Engineer,Engineering,2022-03-25,Edward Sanchez,2022-04-20,2022-06-16,,Dates OK
1160702,123-003-122-011,DevOps Engineer,Engineering,2023-04-01,Paul Johnson,2023-04-23,2023-05-01,transfer,Dates OK
1160702,123-003-122-012,DevOps Engineer,Engineering,2023-01-02,Isabella Hill,2023-01-15,2023-01-27,,Dates OK
1160702,123-003-122-013,DevOps Engineer,Engineering,2023-01-15,Linda Robinson,2023-02-14,2023-02-27,transfer,Dates OK
8458775,123-004-101-001,Software Engineer,Marketing,2022-11-07,Richard Garcia,2022-12-03,2023-01-18,new to org,Dates OK
4710242,123-008-108-005,Customer Support Rep,Research and Development,2022-06-29,Richard Nelson,2022-07-02,,declined,Dates OK
4710242,123-008-108-006,Customer Support Rep,Research and Development,2023-02-10,James Gonzalez,2023-02-14,2023-04-11,promo,Dates OK
4710242,123-008-108-007,Customer Support Rep,Research and Development,2022-06-24,Steven Young,2022-07-12,,rescinded,Dates OK
3151617,123-002-124-001,Compliance Officer,Finance,2022-08-22,Andrew Diaz,2022-09-20,,declined,Dates OK
3151617,123-002-124-002,Compliance Officer,Finance,2022-01-24,Richard Diaz,2022-02-16,2022-04-01,new to org,Dates OK
9941274,123-005-120-009,Executive Assistant,Sales,2022-02-23,Charlotte Ramirez,2022-03-23,2022-04-13,transfer,Dates OK
9941274,123-005-120-010,Executive Assistant,Sales,2023-06-15,Sarah Davis,2023-06-30,2023-08-01,,Dates OK
9941274,123-005-120-011,Executive Assistant,Sales,2022-08-18,Olivia Campbell,2022-08-20,2022-09-07,transfer,Dates OK
9941274,123-005-120-012,Executive Assistant,Sales,2023-02-06,Christopher Smith,2023-02-13,2023-03-07,,Dates OK
9941274,123-005-120-013,Executive Assistant,Sales,2022-01-26,Andrew Phillips,2022-02-19,,declined,Dates OK
4785409,123-007-123-006,Data Engineer,Information Technology,2022-11-15,David Perez,2022-11-18,2022-12-29,promo,Dates OK
2622794,123-008-101-001,Software Engineer,Research and Development,2022-09-11,Mason Taylor,2022-09-15,2022-10-16,new to org,Dates OK
2622794,123-008-101-002,Software Engineer,Research and Development,2022-02-25,Nancy Turner,2022-03-24,,rescinded,Dates OK
2622794,123-008-101-003,Software Engineer,Research and Development,2023-03-26,Charlotte Jones,2023-04-20,2023-04-27,promo,Dates OK
2622794,123-008-101-004,Software Engineer,Research and Development,2022-02-04,Jennifer Brown,2022-02-17,2022-03-10,transfer,Dates OK
